food_id,nome,categoria,fonte,codice_fonte,data_verifica,kcal_100g,proteine_g,carboidrati_g,grassi_g,fibra_g,calcio_mg,ferro_mg,vitamina_d_ug,folati_ug,vitamina_b12_ug,zinco_mg,magnesio_mg,vitamina_c_mg
106500,Pollo petto crudo,carne,CREA+BDA-IEO,106500,2026-07-26,100,23.3,0,0.8,0,4,0.4,0.2,14,0.05,0.7,32,0
000800,Pasta di semola cruda,cereali,CREA+BDA-IEO,000800,2026-07-26,341,13.5,72.7,1.2,1.7,22,1.4,0,19,0,1.15,51,0
004210,Fagioli cannellini in scatola scolati,legumi,CREA+BDA-IEO(proxy)+USDA,004210,2026-07-26,86,6.0,12.5,0.6,4.8,39,2,0,8,0,0.68,29.3,0
008540,Mandorle dolci secche,frutta secca,CREA+BDA-IEO,008540,2026-07-26,628,22.0,4.6,55.3,12.7,240,3,0,48,0,2.5,264,0
000550,Pane integrale,cereali,CREA+BDA-IEO,000550,2026-07-26,224,8.5,44.1,1.3,6.5,25,2.5,0,40,0,1.6,66,0
100015,Fiocchi di latte magro,latticini,BDA-IEO,100015,2026-07-26,115,9.7,3.2,7.1,0,73,0.1,0.05,27,0.7,0.6,9,0
391,Pomodori da insalata,verdura,BDA-IEO,391,2026-07-26,19,1.2,2.8,0.2,1.1,11,0.4,0,14,0,0.2,0,21
8807,Mele con buccia,frutta,BDA-IEO,8807,2026-07-26,44,0.2,10,0,2.6,4,0.1,0,1,0,0.1,5,6
1631,Yogurt di latte parzialmente scremato,latticini,BDA-IEO,1631,2026-07-26,43,3.4,3.8,1.7,0,120,0.1,0.01,17,0.2,0.6,19,1
60091,Pasta di semola integrale cruda,cereali,BDA-IEO,60091,2026-07-26,330,13.3,64.8,2.2,7.1,39,2.7,0,29,0,2,100,0
4005,Ceci secchi cotti bolliti,legumi,CREA,004005,2026-07-26,132,7.0,18.9,2.4,5.8,58,2.2,0,45,0,1.7,37,0.1
345,Spinaci,verdura,BDA-IEO,345,2026-07-26,35,3.4,3,0.7,1.9,78,2.9,0,150,0,1.43,0,54
1313,Merluzzo,pesce,BDA-IEO,1313,2026-07-26,71,17,0,0.3,0,25,0.7,0.005,12,1,2,20,0.5
381,Patate,verdura,BDA-IEO,381,2026-07-26,80,2.1,18,0.1,1.6,10,0.6,0,35,0,0.27,0,15
101,Fagiolini,verdura,BDA-IEO,101,2026-07-26,24,2.1,2.4,0.1,2.9,35,0.9,0,80,0,0.2,0,16
702901,Olio di oliva extravergine,condimenti,BDA-IEO,702901,2026-07-26,899,0,0,99.9,0,0,0.2,0,0.5,0,0.005,0.5,0
1800,Uovo di gallina intero,uova,BDA-IEO,1800,2026-07-26,128,12.4,0,8.7,0,48,1.5,1.75,50,2.5,1.2,13,0
600009,Avena cruda,cereali,BDA-IEO,600009,2026-07-26,360,16.9,55.7,6.9,10.6,54,4.7,0,56,0,4,177,0
1726,Parmigiano,latticini,BDA-IEO,1726,2026-07-26,387,33.5,0,28.1,0,1159,0.7,0.5,5,4.2,4,43,0
