food_id,nome,nutriente,motivo
7040,Anguria cocomero fresco,folati_ug,folati presenti in quasi ogni alimento: dato non pubblicato dalla fonte
7040,Anguria cocomero fresco,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
7040,Anguria cocomero fresco,zinco_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
304,Asparagi,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
005060,Barbabietole rosse crude,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
123200,Branzino spigola,folati_ug,folati presenti in quasi ogni alimento: dato non pubblicato dalla fonte
123200,Branzino spigola,vitamina_b12_ug,"alimento di origine animale: zero implausibile, dato non pubblicato dalla fonte"
123200,Branzino spigola,vitamina_d_ug,"alimento di origine animale: zero implausibile, dato non pubblicato dalla fonte"
309,Broccolo a testa,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
777010,Capperi sott'aceto,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
005120,Carciofi,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
312,Carote,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
318,Cetrioli,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
005300,Cipolla,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
323,Cipolline,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
3020,Corn flakes,folati_ug,folati presenti in quasi ogni alimento: dato non pubblicato dalla fonte
127120,Cozza mitilo,folati_ug,folati presenti in quasi ogni alimento: dato non pubblicato dalla fonte
127120,Cozza mitilo,vitamina_b12_ug,"alimento di origine animale: zero implausibile, dato non pubblicato dalla fonte"
127120,Cozza mitilo,vitamina_d_ug,"alimento di origine animale: zero implausibile, dato non pubblicato dalla fonte"
004125,Fagioli borlotti secchi cotti bolliti,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
101,Fagiolini,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
004425,Fave secche cotte bollite,magnesio_mg,minerale mai biologicamente assente in un alimento intero: dato non pubblicato dalla fonte
